2023-01-05 17:25:47,077 INFO    MainThread:91740 [wandb_setup.py:_flush():68] Configure stats pid to 91740
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/.config/wandb/settings
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_setup.py:_flush():68] Loading settings from /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-25-45/wandb/settings
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/models/train_model_wandb.py', 'program': '/Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/src/models/train_model_wandb.py'}
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:_log_setup():476] Logging user logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-25-45/wandb/run-20230105_172547-xaelwljm/logs/debug.log
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/danielsvendsen/gitrepos/DanielsCookieCutterPlayground/outputs/2023-01-05/17-25-45/wandb/run-20230105_172547-xaelwljm/logs/debug-internal.log
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:init():516] calling init triggers
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:init():569] starting backend
2023-01-05 17:25:47,078 INFO    MainThread:91740 [wandb_init.py:init():573] setting up manager
2023-01-05 17:25:47,087 INFO    MainThread:91740 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-05 17:25:47,089 INFO    MainThread:91740 [wandb_init.py:init():580] backend started and connected
2023-01-05 17:25:47,091 INFO    MainThread:91740 [wandb_init.py:init():658] updated telemetry
2023-01-05 17:25:47,108 INFO    MainThread:91740 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-05 17:25:47,747 INFO    MainThread:91740 [wandb_run.py:_on_init():2006] communicating current version
2023-01-05 17:25:47,891 INFO    MainThread:91740 [wandb_run.py:_on_init():2010] got version response 
2023-01-05 17:25:47,891 INFO    MainThread:91740 [wandb_init.py:init():728] starting run threads in backend
2023-01-05 17:25:50,550 INFO    MainThread:91740 [wandb_run.py:_console_start():1986] atexit reg
2023-01-05 17:25:50,550 INFO    MainThread:91740 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-05 17:25:50,550 INFO    MainThread:91740 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-05 17:25:50,550 INFO    MainThread:91740 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-05 17:25:50,551 INFO    MainThread:91740 [wandb_init.py:init():765] run started, returning control to user process
2023-01-05 17:25:50,614 INFO    MainThread:91740 [wandb_watch.py:watch():51] Watching
2023-01-05 17:26:06,088 WARNING MsgRouterThr:91740 [router.py:message_loop():77] message_loop has been closed
